orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
TOP,25,1,0,gfpga_pad_IO_A2F[0],,,,
TOP,25,1,1,gfpga_pad_IO_A2F[1],,,,
TOP,25,1,2,gfpga_pad_IO_A2F[2],,,,
TOP,25,1,3,gfpga_pad_IO_A2F[3],,,,
TOP,25,1,4,gfpga_pad_IO_A2F[4],,,,
TOP,25,1,5,gfpga_pad_IO_A2F[5],,,,
TOP,25,1,6,gfpga_pad_IO_A2F[6],,,,
TOP,25,1,7,gfpga_pad_IO_A2F[7],,,,
TOP,25,1,8,gfpga_pad_IO_A2F[8],,,,
TOP,25,1,9,gfpga_pad_IO_A2F[9],,,,
TOP,25,1,10,gfpga_pad_IO_A2F[10],,,,
TOP,25,1,11,gfpga_pad_IO_A2F[11],,,,
TOP,25,1,12,gfpga_pad_IO_A2F[12],,,,
TOP,25,1,13,gfpga_pad_IO_A2F[13],,,,
TOP,25,1,14,gfpga_pad_IO_A2F[14],,,,
TOP,25,1,15,gfpga_pad_IO_A2F[15],,,,
TOP,25,2,0,gfpga_pad_IO_A2F[16],,,,
TOP,25,2,1,gfpga_pad_IO_A2F[17],,,,
TOP,25,2,2,gfpga_pad_IO_A2F[18],,,,
TOP,25,2,3,gfpga_pad_IO_A2F[19],,,,
TOP,25,2,4,gfpga_pad_IO_A2F[20],,,,
TOP,25,2,5,gfpga_pad_IO_A2F[21],,,,
TOP,25,2,6,gfpga_pad_IO_A2F[22],,,,
TOP,25,2,7,gfpga_pad_IO_A2F[23],,,,
TOP,25,2,8,gfpga_pad_IO_A2F[24],,,,
TOP,25,2,9,gfpga_pad_IO_A2F[25],,,,
TOP,25,2,10,gfpga_pad_IO_A2F[26],,,,
TOP,25,2,11,gfpga_pad_IO_A2F[27],,,,
TOP,25,2,12,gfpga_pad_IO_A2F[28],,,,
TOP,25,2,13,gfpga_pad_IO_A2F[29],,,,
TOP,25,2,14,gfpga_pad_IO_A2F[30],,,,
TOP,25,2,15,gfpga_pad_IO_A2F[31],,,,
TOP,25,3,0,gfpga_pad_IO_A2F[32],,,,
TOP,25,3,1,gfpga_pad_IO_A2F[33],,,,
TOP,25,3,2,gfpga_pad_IO_A2F[34],,,,
TOP,25,3,3,gfpga_pad_IO_A2F[35],,,,
TOP,25,3,4,gfpga_pad_IO_A2F[36],,,,
TOP,25,3,5,gfpga_pad_IO_A2F[37],,,,
TOP,25,3,6,gfpga_pad_IO_A2F[38],,,,
TOP,25,3,7,gfpga_pad_IO_A2F[39],,,,
TOP,25,3,8,gfpga_pad_IO_A2F[40],,,,
TOP,25,3,9,gfpga_pad_IO_A2F[41],,,,
TOP,25,3,10,gfpga_pad_IO_A2F[42],,,,
TOP,25,3,11,gfpga_pad_IO_A2F[43],,,,
TOP,25,3,12,gfpga_pad_IO_A2F[44],,,,
TOP,25,3,13,gfpga_pad_IO_A2F[45],,,,
TOP,25,3,14,gfpga_pad_IO_A2F[46],,,,
TOP,25,3,15,gfpga_pad_IO_A2F[47],,,,
TOP,25,4,0,gfpga_pad_IO_A2F[48],,,,
TOP,25,4,1,gfpga_pad_IO_A2F[49],,,,
TOP,25,4,2,gfpga_pad_IO_A2F[50],,,,
TOP,25,4,3,gfpga_pad_IO_A2F[51],,,,
TOP,25,4,4,gfpga_pad_IO_A2F[52],,,,
TOP,25,4,5,gfpga_pad_IO_A2F[53],,,,
TOP,25,4,6,gfpga_pad_IO_A2F[54],,,,
TOP,25,4,7,gfpga_pad_IO_A2F[55],,,,
TOP,25,4,8,gfpga_pad_IO_A2F[56],,,,
TOP,25,4,9,gfpga_pad_IO_A2F[57],,,,
TOP,25,4,10,gfpga_pad_IO_A2F[58],,,,
TOP,25,4,11,gfpga_pad_IO_A2F[59],,,,
TOP,25,4,12,gfpga_pad_IO_A2F[60],,,,
TOP,25,4,13,gfpga_pad_IO_A2F[61],,,,
TOP,25,4,14,gfpga_pad_IO_A2F[62],,,,
TOP,25,4,15,gfpga_pad_IO_A2F[63],,,,
TOP,25,5,0,gfpga_pad_IO_A2F[64],,,,
TOP,25,5,1,gfpga_pad_IO_A2F[65],,,,
TOP,25,5,2,gfpga_pad_IO_A2F[66],,,,
TOP,25,5,3,gfpga_pad_IO_A2F[67],,,,
TOP,25,5,4,gfpga_pad_IO_A2F[68],,,,
TOP,25,5,5,gfpga_pad_IO_A2F[69],,,,
TOP,25,5,6,gfpga_pad_IO_A2F[70],,,,
TOP,25,5,7,gfpga_pad_IO_A2F[71],,,,
TOP,25,5,8,gfpga_pad_IO_A2F[72],,,,
TOP,25,5,9,gfpga_pad_IO_A2F[73],,,,
TOP,25,5,10,gfpga_pad_IO_A2F[74],,,,
TOP,25,5,11,gfpga_pad_IO_A2F[75],,,,
TOP,25,5,12,gfpga_pad_IO_A2F[76],,,,
TOP,25,5,13,gfpga_pad_IO_A2F[77],,,,
TOP,25,5,14,gfpga_pad_IO_A2F[78],,,,
TOP,25,5,15,gfpga_pad_IO_A2F[79],,,,
TOP,25,6,0,gfpga_pad_IO_A2F[80],,,,
TOP,25,6,1,gfpga_pad_IO_A2F[81],,,,
TOP,25,6,2,gfpga_pad_IO_A2F[82],,,,
TOP,25,6,3,gfpga_pad_IO_A2F[83],,,,
TOP,25,6,4,gfpga_pad_IO_A2F[84],,,,
TOP,25,6,5,gfpga_pad_IO_A2F[85],,,,
TOP,25,6,6,gfpga_pad_IO_A2F[86],,,,
TOP,25,6,7,gfpga_pad_IO_A2F[87],,,,
TOP,25,6,8,gfpga_pad_IO_A2F[88],,,,
TOP,25,6,9,gfpga_pad_IO_A2F[89],,,,
TOP,25,6,10,gfpga_pad_IO_A2F[90],,,,
TOP,25,6,11,gfpga_pad_IO_A2F[91],,,,
TOP,25,6,12,gfpga_pad_IO_A2F[92],,,,
TOP,25,6,13,gfpga_pad_IO_A2F[93],,,,
TOP,25,6,14,gfpga_pad_IO_A2F[94],,,,
TOP,25,6,15,gfpga_pad_IO_A2F[95],,,,
TOP,25,7,0,gfpga_pad_IO_A2F[96],,,,
TOP,25,7,1,gfpga_pad_IO_A2F[97],,,,
TOP,25,7,2,gfpga_pad_IO_A2F[98],,,,
TOP,25,7,3,gfpga_pad_IO_A2F[99],,,,
TOP,25,7,4,gfpga_pad_IO_A2F[100],,,,
TOP,25,7,5,gfpga_pad_IO_A2F[101],,,,
TOP,25,7,6,gfpga_pad_IO_A2F[102],,,,
TOP,25,7,7,gfpga_pad_IO_A2F[103],,,,
TOP,25,7,8,gfpga_pad_IO_A2F[104],,,,
TOP,25,7,9,gfpga_pad_IO_A2F[105],,,,
TOP,25,7,10,gfpga_pad_IO_A2F[106],,,,
TOP,25,7,11,gfpga_pad_IO_A2F[107],,,,
TOP,25,7,12,gfpga_pad_IO_A2F[108],,,,
TOP,25,7,13,gfpga_pad_IO_A2F[109],,,,
TOP,25,7,14,gfpga_pad_IO_A2F[110],,,,
TOP,25,7,15,gfpga_pad_IO_A2F[111],,,,
TOP,25,8,0,gfpga_pad_IO_A2F[112],,,,
TOP,25,8,1,gfpga_pad_IO_A2F[113],,,,
TOP,25,8,2,gfpga_pad_IO_A2F[114],,,,
TOP,25,8,3,gfpga_pad_IO_A2F[115],,,,
TOP,25,8,4,gfpga_pad_IO_A2F[116],,,,
TOP,25,8,5,gfpga_pad_IO_A2F[117],,,,
TOP,25,8,6,gfpga_pad_IO_A2F[118],,,,
TOP,25,8,7,gfpga_pad_IO_A2F[119],,,,
TOP,25,8,8,gfpga_pad_IO_A2F[120],,,,
TOP,25,8,9,gfpga_pad_IO_A2F[121],,,,
TOP,25,8,10,gfpga_pad_IO_A2F[122],,,,
TOP,25,8,11,gfpga_pad_IO_A2F[123],,,,
TOP,25,8,12,gfpga_pad_IO_A2F[124],,,,
TOP,25,8,13,gfpga_pad_IO_A2F[125],,,,
TOP,25,8,14,gfpga_pad_IO_A2F[126],,,,
TOP,25,8,15,gfpga_pad_IO_A2F[127],,,,
TOP,25,9,0,gfpga_pad_IO_A2F[128],,,,
TOP,25,9,1,gfpga_pad_IO_A2F[129],,,,
TOP,25,9,2,gfpga_pad_IO_A2F[130],,,,
TOP,25,9,3,gfpga_pad_IO_A2F[131],,,,
TOP,25,9,4,gfpga_pad_IO_A2F[132],,,,
TOP,25,9,5,gfpga_pad_IO_A2F[133],,,,
TOP,25,9,6,gfpga_pad_IO_A2F[134],,,,
TOP,25,9,7,gfpga_pad_IO_A2F[135],,,,
TOP,25,9,8,gfpga_pad_IO_A2F[136],,,,
TOP,25,9,9,gfpga_pad_IO_A2F[137],,,,
TOP,25,9,10,gfpga_pad_IO_A2F[138],,,,
TOP,25,9,11,gfpga_pad_IO_A2F[139],,,,
TOP,25,9,12,gfpga_pad_IO_A2F[140],,,,
TOP,25,9,13,gfpga_pad_IO_A2F[141],,,,
TOP,25,9,14,gfpga_pad_IO_A2F[142],,,,
TOP,25,9,15,gfpga_pad_IO_A2F[143],,,,
TOP,25,10,0,gfpga_pad_IO_A2F[144],,,,
TOP,25,10,1,gfpga_pad_IO_A2F[145],,,,
TOP,25,10,2,gfpga_pad_IO_A2F[146],,,,
TOP,25,10,3,gfpga_pad_IO_A2F[147],,,,
